bladelen,petiole,bladewid,latitude,logwid,logpet,loglen,arch,location
33.88,1.402632,13.65,5,2.6137395216,0.3383504716,3.5228248698,0,Sabah
33.32,1.01626,10.26,5,2.3282528397,0.0161292219,3.5061578173,0,Sabah
29.35,2.392025,12.21,5,2.5022552881,0.8721402875,3.3792925463,0,Sabah
26.87,0.808787,8.7,5,2.1633230257,-0.2122196846,3.2910104226,0,Sabah
26.67,0.802767,8.41,5,2.129421474,-0.219690769,3.2835393382,0,Sabah
24.23,1.490145,7.7,5,2.0412203289,0.3988734307,3.1875915348,0,Sabah
23.85,1.09233,5.69,5,1.7387102481,0.0883130295,3.1717842173,0,Sabah
23.3,1.9106,8.41,5,2.129421474,0.6474173289,3.1484533606,0,Sabah
23.11,1.881154,7.95,5,2.0731719287,0.6318854183,3.1402654243,0,Sabah
23.08,0.976284,6.98,5,1.9430489168,-0.0240017513,3.1389664416,0,Sabah
22.14,3.015468,8.01,5,2.0806907611,1.103755042,3.0973859273,0,Sabah
21.57,2.622912,8.67,5,2.1598687908,0.964285151,3.0713034604,0,Sabah
21.3,1.46118,6.59,5,1.8855533485,0.3792443285,3.0587070727,0,Sabah
20.97,1.360953,6.73,5,1.9065751437,0.3081851896,3.0430928449,0,Sabah
20.82,0.88485,6.71,5,1.903598951,-0.1223371399,3.0359140632,0,Sabah
20.48,0.970752,6.06,5,1.8017098001,-0.0296842501,3.0194488002,0,Sabah
20.42,1.223158,8.48,5,2.1377104498,0.2014360389,3.0165148127,0,Sabah
20.41,0.957229,6.24,5,1.8309801824,-0.0437126267,3.0160249768,0,Sabah
20.37,0.996093,5.07,5,1.6233408176,-0.0039146523,3.0140632302,0,Sabah
20.13,1.344684,6.73,5,1.9065751437,0.2961590412,3.0022112397,0,Sabah
20.04,1.178352,5.01,5,1.6114359151,0.1641168521,2.9977302762,0,Sabah
19.37,1.586403,6.62,5,1.8900953699,0.4614691893,2.9637254774,0,Sabah
19.34,1.088842,6.57,5,1.8825138325,0.0851147462,2.96217549,0,Sabah
19.3,1.32784,7.18,5,1.9712993831,0.2835535619,2.9601050959,0,Sabah
19.21,0.851003,6.89,5,1.930071085,-0.1613396252,2.9554309768,0,Sabah
19.02,0.886332,7.44,5,2.0068708488,-0.1206636807,2.9454910571,0,Sabah
18.56,0.950272,6.22,5,1.8277699068,-0.0510070196,2.9210087274,0,Sabah
18.34,0.673078,5.6,5,1.7227665977,-0.3958940571,2.9090844668,0,Sabah
18.19,0.616641,9.28,5,2.2278615468,-0.4834682721,2.9008719925,0,Sabah
18.17,0.368851,8.32,5,2.1186622548,-0.9973625105,2.8997718824,0,Sabah
18.07,0.719186,6.18,5,1.8213182715,-0.3296352621,2.8942531046,0,Sabah
17.6,0.62656,5.43,5,1.6919391339,-0.4675107391,2.867898902,0,Sabah
17.51,1.591659,5.85,5,1.7664416612,0.4647768685,2.8627721463,0,Sabah
17.26,0.573032,4.5,5,1.5040773968,-0.5568137174,2.8483916857,0,Sabah
17.26,0.916506,6.3,5,1.8405496334,-0.0871866651,2.8483916857,0,Sabah
17.22,0.609588,5.67,5,1.7351891177,-0.4949719598,2.846071499,0,Sabah
17.02,0.745476,5.6,5,1.7227665977,-0.2937323385,2.8343891231,0,Sabah
16.8,1.32384,5.93,5,1.780024213,0.2805366043,2.8213788864,0,Sabah
16.06,1.231802,6.07,5,1.8033586051,0.2084781379,2.7763317085,0,Sabah
15.94,0.543554,6.6,5,1.887069649,-0.6096262213,2.7688316734,0,Sabah
15.92,0.603368,6.21,5,1.8261608959,-0.5052279865,2.7675761804,0,Sabah
15.58,0.49856,4.54,5,1.5129270121,-0.6960313357,2.7459880404,0,Sabah
15.46,0.759086,5.51,5,1.7065646232,-0.275640201,2.7382560432,0,Sabah
15.02,0.787048,4.62,5,1.5303947051,-0.2394660413,2.7093826463,0,Sabah
14.92,0.971292,4.43,5,1.4883995841,-0.029128135,2.7027025948,0,Sabah
14.54,0.657208,5.01,5,1.6114359151,-0.41975472,2.6769034721,0,Sabah
14.08,0.188672,5.37,5,1.6808279085,-1.6677452213,2.6447553507,0,Sabah
13.75,0.55275,5.19,5,1.6467336972,-0.5928494592,2.6210388241,0,Sabah
13.74,0.987906,5.94,5,1.7817091334,-0.0121677275,2.6203112868,0,Sabah
13.59,0.354699,5.62,5,1.7263316639,-1.0364857365,2.6093342282,0,Sabah
13.27,0.759044,5.13,5,1.6351056592,-0.2756955323,2.5855058483,0,Sabah
13.07,0.713622,5.52,5,1.7083778603,-0.3374018686,2.5703195276,0,Sabah
13.02,0.576786,4.85,5,1.5789787049,-0.5502839652,2.5664866368,0,Sabah
13.02,0.171864,4.7,5,1.5475625087,-1.7610518126,2.5664866368,0,Sabah
12.99,1.982274,5.26,5,1.6601310267,0.6842446706,2.5641798307,0,Sabah
12.87,0.719433,4.97,5,1.6034198401,-0.3292918772,2.5548990216,0,Sabah
12.65,0.66286,5.18,5,1.6448050563,-0.4111914725,2.5376572152,0,Sabah
12.28,0.381908,5.51,5,1.7065646232,-0.9625755371,2.5079719227,0,Sabah
12.03,0.479997,2.33,5,0.8458682676,-0.7339754251,2.48740353,0,Sabah
11,0.4235,3.79,5,1.3323660191,-0.8592017649,2.3978952728,0,Sabah
10.4,0.85904,3.52,5,1.2584609896,-0.1519397923,2.3418058061,0,Sabah
10.02,0.3507,3.23,5,1.1724821372,-1.0478241218,2.3045830957,0,Sabah
9.81,0.36,2.82,5,1.036736885,-1.0216512475,2.2834022736,0,Sabah
8.42,0.22734,2.53,5,0.9282193027,-1.4813085847,2.1306098283,0,Sabah
2.28,0.112632,1.25,5,0.2231435513,-2.1836294118,0.824175443,0,Sabah
43.4,3.37652,10.94,5,2.392425797,1.2168455933,3.7704594411,1,Sabah
41.39,5.542121,17.75,5,2.8763855159,1.7123772795,3.7230393058,1,Sabah
33.35,3.231615,12.27,5,2.5071572587,1.1729820123,3.5070577724,1,Sabah
29.34,3.2274,10.05,5,2.3075726345,1.1716768595,3.3789517727,1,Sabah
29.25,4.431375,10.42,5,2.3437270363,1.4887099196,3.3758795737,1,Sabah
28.48,4.93,7.42,5,2.0041790572,1.5953389881,3.3492020865,1,Sabah
27.38,22.16,26.41,5,3.2737427263,3.0982888619,3.3098128199,1,Sabah
26.6,1.25552,7.25,5,1.9810014689,0.2275498294,3.2809112158,1,Sabah
24.88,3.301576,7.75,5,2.0476928434,1.1943999302,3.2140642679,1,Sabah
24.8,3.867,9.15,5,2.2137538793,1.3524790126,3.2108436532,1,Sabah
23.75,2.50325,7.14,5,1.9657127764,0.9175898876,3.1675825305,1,Sabah
22.05,4.588605,8.61,5,2.1529243184,1.5235760563,3.0933126019,1,Sabah
20.36,2.691592,6.08,5,1.805004696,0.9901328401,3.0135721917,1,Sabah
19.88,3.21062,6.08,5,1.805004696,1.1664640649,2.9897142012,1,Sabah
19.35,3.043755,6.96,5,1.9401794743,1.1130919506,2.9626924195,1,Sabah
6.74,0.219724,2.48,9.1,0.9082585602,-1.5153830657,1.9080599249,0,Panama
7.7,0.38962,3.14,9.1,1.1442227999,-0.9425833738,2.0412203289,0,Panama
7.97,0.28692,2.63,9.1,0.9669838462,-1.2485518477,2.0756844928,0,Panama
8.82,0.380142,3.78,9.1,1.3297240096,-0.9672104119,2.17702187,0,Panama
9.44,0.435184,3.95,9.1,1.3737155789,-0.8319863488,2.2449559802,0,Panama
9.92,0.29264,4.11,9.1,1.4134230285,-1.2288120943,2.2945529213,0,Panama
11.23,0.522195,4.11,9.1,1.4134230285,-0.6497141976,2.4185887688,0,Panama
11.26,0.5067,5.22,9.1,1.6524974019,-0.6798361665,2.4212566227,0,Panama
11.29,0.291282,4.17,9.1,1.4279160358,-1.2334634089,2.4239173782,0,Panama
12.12,0.566004,4.03,9.1,1.393766376,-0.5691541337,2.4948569806,0,Panama
12.26,0.605644,5.45,9.1,1.6956156087,-0.5014629243,2.5063419305,0,Panama
12.33,0.490734,3.72,9.1,1.3137236683,-0.7118530495,2.5120353172,0,Panama
12.92,0.576232,3.81,9.1,1.3376291891,-0.5512449216,2.5587764984,0,Panama
13,0.3107,3.65,9.1,1.2947271676,-1.1689274626,2.5649493575,0,Panama
13.56,0.973608,4.15,9.1,1.4231083342,-0.0267465204,2.6071242825,0,Panama
14.57,0.884399,4.88,9.1,1.5851452199,-0.1228469607,2.6789646202,0,Panama
14.58,1.256796,5.85,9.1,1.7664416612,0.2285656253,2.6796507266,0,Panama
14.6,0.87016,6.18,9.1,1.8213182715,-0.1390781762,2.6810215287,0,Panama
15.12,0.511056,6.42,9.1,1.8594181177,-0.6712761057,2.7160183708,0,Panama
15.2,0.42712,6.13,9.1,1.8131947499,-0.8506902748,2.7212954279,0,Panama
15.67,1.090632,6.25,9.1,1.8325814637,0.0867573447,2.7517480564,0,Panama
16.18,0.608368,4.05,9.1,1.3987168811,-0.496975317,2.7837759116,0,Panama
16.62,0.300822,5.8,9.1,1.7578579176,-1.2012365513,2.8106067894,0,Panama
16.71,1.567398,4.37,9.1,1.4747630091,0.4494169196,2.8160073426,0,Panama
17.1,0.53865,4.85,9.1,1.5789787049,-0.6186892696,2.8390784635,0,Panama
17.63,1.650168,4.8,9.1,1.5686159179,0.5008771009,2.8696019964,0,Panama
17.69,1.075552,6.28,9.1,1.8373699805,0.0728340182,2.8729995082,0,Panama
18.7,1.04159,7.13,9.1,1.9643112344,0.0407483918,2.9285235239,0,Panama
19.1,2.27672,8.32,9.1,2.1186622548,0.8227358107,2.9496883351,0,Panama
19.29,1.323294,7.08,9.1,1.9572739077,0.2801240827,2.9595868269,0,Panama
19.99,1.747126,6.65,9.1,1.8946168547,0.5579721522,2.9952321485,0,Panama
20.25,1.221075,7.27,9.1,1.9837562915,0.1997316183,3.0081547936,0,Panama
20.87,0.884888,8.21,9.1,2.1053529235,-0.1222941957,3.0383127211,0,Panama
21.16,0.509956,7.13,9.1,1.9643112344,-0.6734308315,3.052112607,0,Panama
26.99,1.3495,10.34,9.1,2.3360198691,0.2997341535,3.295466427,0,Panama
28.94,1.276254,8.43,9.1,2.131796772,0.2439292247,3.3652247212,0,Panama
45.23,3.523417,16.67,9.1,2.8136106968,1.2594312574,3.8117605835,0,Panama
45.89,51.08,43.58,9.1,3.7745983295,3.9333930312,3.8262472284,1,Panama
20.92,12.924376,15.09,9.1,2.7140322728,2.5591151407,3.0407056392,1,Panama
22.87,11.146838,14.81,9.1,2.6953026283,2.4111558702,3.129826008,1,Panama
25.94,11.405818,16.56,9.1,2.806990149,2.4341235761,3.2557861789,1,Panama
14.24,5.707392,7.22,9.1,1.9768549529,1.7417621768,2.656054906,1,Panama
16.25,4.25425,5.64,9.1,1.7298840655,1.4479184833,2.7880929088,1,Panama
49.3,9.71703,26.25,9.1,3.267665989,2.2738800162,3.897924081,1,Panama
24.18,2.463942,10.8,9.1,2.3795461341,0.9017625064,3.1855258452,1,Panama
14.58,1.433214,4.5,9.1,1.5040773968,0.3599194748,2.6796507266,1,Panama
49.45,4.831265,11.54,9.1,2.4458192611,1.5751083381,3.9009620581,1,Panama
13.8,1.31652,6.58,9.1,1.8840347453,0.2749918916,2.6246685922,1,Panama
14.03,1.224819,5.4,9.1,1.6863989536,0.202793078,2.6411978941,1,Panama
25.8,1.91952,7.12,9.1,1.9629077254,0.6520751548,3.2503744919,1,Panama
14.79,0.93177,3.37,9.1,1.2149127444,-0.0706692759,2.6939512767,1,Panama
28.94,1.72193,8.84,9.1,2.1792868766,0.5434457548,3.3652247212,1,Panama
18.35,0.78905,6.99,9.1,1.9444805562,-0.2369255888,2.9096295745,1,Panama
11.67,0.394446,4.67,9.1,1.5411590717,-0.9302730302,2.4570214463,1,Panama
13.11,0.291042,4.68,9.1,1.5432981099,-1.2342876923,2.5733752978,1,Panama
7.77,0.477855,3.31,10.4,1.1969481894,-0.7384479398,2.0502701644,0,Costa Rica
10.31,0.282494,2.62,10.4,0.9631743178,-1.2640979676,2.333114298,0,Costa Rica
11.28,1.046784,4.7,10.4,1.5475625087,0.0457226069,2.4230312461,0,Costa Rica
11.67,0.532152,2.82,10.4,1.036736885,-0.6308261162,2.4570214463,0,Costa Rica
13.38,0.587382,3.75,10.4,1.32175584,-0.5320799042,2.5937610547,0,Costa Rica
14.1,0.37647,4.92,10.4,1.5933085305,-0.9769169162,2.6461747974,0,Costa Rica
14.1,0.56118,5.59,10.4,1.7209792872,-0.5777135693,2.6461747974,0,Costa Rica
14.18,0.727434,5.3,10.4,1.6677068206,-0.3182320057,2.6518325211,0,Costa Rica
15.01,1.341894,5.81,10.4,1.7595805709,0.2940820488,2.7087166456,0,Costa Rica
16.1,0.85652,5.77,10.4,1.7526720805,-0.1548776106,2.778819272,0,Costa Rica
16.56,0.622656,4.78,10.4,1.5644405465,-0.4737610796,2.806990149,0,Costa Rica
16.59,0.642033,6.29,10.4,1.8389610707,-0.4431155747,2.8088001042,0,Costa Rica
16.86,1.712976,4.62,10.4,1.5303947051,0.5382322087,2.8249439526,0,Costa Rica
17.01,1.558116,7.97,10.4,2.0756844928,0.4434773991,2.8338014064,0,Costa Rica
17.86,0.510796,6.18,10.4,1.8213182715,-0.6717849857,2.8825635754,0,Costa Rica
18.01,1.6209,8.05,10.4,2.0856720914,0.4829815505,2.8909271592,0,Costa Rica
18.1,1.08962,6.57,10.4,1.8825138325,0.0858290116,2.8959119383,0,Costa Rica
18.71,0.974791,5.58,10.4,1.7191887764,-0.0255321899,2.9290581403,0,Costa Rica
18.75,0.755625,5.96,10.4,1.7850704811,-0.2802100576,2.9311937524,0,Costa Rica
19.74,2.49711,7.33,10.4,1.9919755159,0.9151340632,2.982647034,0,Costa Rica
20.1,0.74772,6.31,10.4,1.8421356766,-0.2907267026,3.0007198151,0,Costa Rica
20.16,1.06848,8.14,10.4,2.09679018,0.0662370778,3.0037004432,0,Costa Rica
20.32,2.283968,10.01,10.4,2.3035845933,0.8259142812,3.0116056227,0,Costa Rica
20.35,2.79202,10.29,10.4,2.3311725498,1.0267653482,3.0130809119,0,Costa Rica
20.42,1.06184,4.79,10.4,1.5665304114,0.0600032523,3.0165148127,0,Costa Rica
22.67,1.274054,7.49,10.4,2.0135687975,0.2422039424,3.1210424645,0,Costa Rica
22.9,1.33049,9,10.4,2.1972245773,0.2855472954,3.1311369106,0,Costa Rica
23.8,0.7021,8.37,10.4,2.1246538845,-0.353679435,3.1696855807,0,Costa Rica
23.87,1.281819,9.34,10.4,2.2343062522,0.2482801629,3.1726224404,0,Costa Rica
24.7,2.01058,10.59,10.4,2.3599101596,0.6984232377,3.2068032436,0,Costa Rica
26.4,0.90816,8.56,10.4,2.1471001902,-0.0963347045,3.2733640102,0,Costa Rica
28.12,1.16698,7.31,10.4,1.9892432738,0.1544192152,3.3364810669,0,Costa Rica
30.06,1.569132,9.02,10.4,2.1994443341,0.4505226002,3.4031953843,0,Costa Rica
28.37,6.769082,15.84,10.4,2.7625383864,1.9123654795,3.3453322488,0,Costa Rica
17.33,3.398413,7.2,10.4,1.974081026,1.2233085579,2.8524391037,1,Costa Rica
17.68,1.462136,5.42,10.4,1.6900958155,0.3798983803,2.8724340572,1,Costa Rica
18,1.008,4.12,10.4,1.4158531634,0.0079681696,2.8903717579,1,Costa Rica
19.21,12.234849,9.34,10.4,2.2343062522,2.5042883552,2.9554309768,1,Costa Rica
20.18,1.951406,10.13,10.4,2.3155013183,0.6685501384,3.0046920149,1,Costa Rica
21.02,2.825088,7.24,10.4,1.9796212064,1.0385395146,3.0454743654,1,Costa Rica
22.44,8.590032,13.09,10.4,2.5718485799,2.1506024613,3.1108450807,1,Costa Rica
26.87,12.65577,13.59,10.4,2.6093342282,2.5381132377,3.2910104226,1,Costa Rica
30.8,2.4024,10.14,10.4,2.3164879982,0.8764682377,3.42751469,1,Costa Rica
31.95,24.93,36.62,10.4,3.6005945392,3.2160718975,3.4641721808,1,Costa Rica
32.84,5.45144,11,10.4,2.3978952728,1.695879794,3.4916472846,1,Costa Rica
33.29,2.86294,10.54,10.4,2.3551775431,1.0518490689,3.5052570516,1,Costa Rica
38.22,2.633358,15.72,10.4,2.754933787,0.9682598378,3.6433589388,1,Costa Rica
46.6,48.88,46.17,10.4,3.8323302365,3.8893683149,3.8416005411,1,Costa Rica
46.94,3.374986,15.8,10.4,2.76000994,1.2163911762,3.8488701904,1,Costa Rica
72.3,2.39313,20.6,10.4,3.0252910758,0.8726021326,4.2808241292,1,Costa Rica
6.93,0.449064,3.1,17.1,1.1314021115,-0.8005898624,1.9358598132,0,N Queensland
7.27,0.26172,2.5,17.1,0.9162907319,-1.340480049,1.9837562915,0,N Queensland
7.43,0.766033,2.98,17.1,1.0919233005,-0.2665300292,2.0055258587,0,N Queensland
8,0.5928,3.06,17.1,1.118414916,-0.522898205,2.0794415417,0,N Queensland
8.08,0.4929,3.03,17.1,1.1085626195,-0.7074489653,2.0893918725,0,N Queensland
8.48,0.819168,4.33,17.1,1.465567542,-0.199466088,2.1377104498,0,N Queensland
8.56,0.598344,4.82,17.1,1.5727739281,-0.5135894396,2.1471001902,0,N Queensland
8.72,0.5901,4.88,17.1,1.5851452199,-0.5274632649,2.1656192379,0,N Queensland
9.153333,0.520824648,3.01,17.1,1.1019400788,-0.652341862,2.2141180753,0,N Queensland
9.353333,0.893243302,4.04,17.1,1.396244692,-0.1128962806,2.2357327504,0,N Queensland
9.48,0.239844,3.24,17.1,1.1755733298,-1.427766567,2.2491843163,0,N Queensland
9.56,0.65964,2.84,17.1,1.0438040522,-0.4160610473,2.2575877271,0,N Queensland
10.06,1.259512,3.37,17.1,1.2149127444,0.2307243444,2.3085671647,0,N Queensland
10.06,0.602594,3.79,17.1,1.3323660191,-0.5065116092,2.3085671647,0,N Queensland
10.11,0.7446015,3.72,17.1,1.3137236683,-0.294906103,2.313525033,0,N Queensland
10.37,0.281,3.48,17.1,1.2470322938,-1.2694006096,2.3389170222,0,N Queensland
10.44,0.489636,3.99,17.1,1.3837912309,-0.7140930211,2.3456445825,0,N Queensland
10.5,0.09975,3.33,17.1,1.202972304,-2.3050882232,2.3513752572,0,N Queensland
10.55,1.00014,5.16,17.1,1.6409365795,0.0001399902,2.3561258599,0,N Queensland
10.87,0.84786,4.01,17.1,1.3887912413,-0.1650397512,2.3860067011,0,N Queensland
11.22,1.104048,4.65,17.1,1.5368672196,0.0989834252,2.4176979001,0,N Queensland
11.66,0.871,3.62,17.1,1.2864740258,-0.1381133021,2.4561641809,0,N Queensland
11.86,0.856292,4.33,17.1,1.465567542,-0.1551438395,2.4731713936,0,N Queensland
12.23,0.386468,4.11,17.1,1.4134230285,-0.9507062087,2.5038919497,0,N Queensland
12.84,0.889812,4.36,17.1,1.4724720574,-0.1167450745,2.5525652983,0,N Queensland
12.9,0.2709,4.18,17.1,1.4303112465,-1.3060055299,2.5572273114,0,N Queensland
12.96,0.415368,4.03,17.1,1.393766376,-0.8785904047,2.5618676909,0,N Queensland
13.03,0.28763725,3.29,17.1,1.1908875648,-1.2460551414,2.5672543911,0,N Queensland
13.4,1.47802,5.59,17.1,1.7209792872,0.3907033542,2.595254707,0,N Queensland
13.413333,0.854871952,4.34,17.1,1.4678743481,-0.156803585,2.5962492123,0,N Queensland
13.59,0.9696465,5.64,17.1,1.7298840655,-0.0308237069,2.6093342282,0,N Queensland
14.36,0.548552,4.26,17.1,1.4492691603,-0.6004731997,2.6644465636,0,N Queensland
14.4,0.45072,3.975,17.1,1.3800247481,-0.7969089749,2.6672282066,0,N Queensland
14.6,1.04828,3.05,17.1,1.1151415906,0.0471507258,2.6810215287,0,N Queensland
14.9,0.93125,4.57,17.1,1.5195132049,-0.0712275093,2.701361213,0,N Queensland
16.49,1.205419,7.61,17.1,2.0294631719,0.1868272243,2.8027541366,0,N Queensland
16.67,0.698473,5.68,17.1,1.7369512327,-0.3588587553,2.8136106968,0,N Queensland
17.04,1.159572,6.86,17.1,1.9257074417,0.1480509715,2.8355635214,0,N Queensland
19.89,1.1795,7.81,17.1,2.0554049639,0.1650906199,2.9902170929,0,N Queensland
24.43,1.2044,6.96,17.1,1.9401794743,0.1859815176,3.1958118853,0,N Queensland
30.35,1.6586275,6.78,17.1,1.913977102,0.5059904531,3.4127965175,0,N Queensland
13.98,1.50984,3.9,17.1,1.3609765531,0.4120036849,2.6376277368,1,N Queensland
14.45,2.88422,5.72,17.1,1.7439688054,1.0592544995,2.6706944146,1,N Queensland
15.25,0.840275,3,17.1,1.0986122887,-0.1740260598,2.7245795031,1,N Queensland
15.3,1.87425,5.88,17.1,1.7715567619,0.6282085794,2.7278528284,1,N Queensland
15.348,1.8049248,4.84,17.1,1.5769147207,0.5905189289,2.7309851724,1,N Queensland
15.46,1.842832,5.85,17.1,1.7664416612,0.6113035188,2.7382560432,1,N Queensland
15.56,1.039408,4.72,17.1,1.5518087996,0.0386513203,2.7447035188,1,N Queensland
17,0.4148,7.22,17.1,1.9768549529,-0.8799588026,2.8332133441,1,N Queensland
17.8,1.55572,5.28,17.1,1.6639260977,0.441938461,2.8791984573,1,N Queensland
17.97,3.5212215,6.15,17.1,1.8164520818,1.2588079465,2.8887037008,1,N Queensland
18.76,1.876,7.19,17.1,1.9726911717,0.6291418506,2.9317269436,1,N Queensland
19.68,6.5928,8.16,17.1,2.099244169,1.8859781445,2.9796028916,1,N Queensland
20.98,3.268684,6.58,17.1,1.8840347453,1.1843874574,3.043569603,1,N Queensland
22.215,10.4743725,11.46,17.1,2.4388627113,2.3489315595,3.1007677364,1,N Queensland
22.64,0.875036,3.8,17.1,1.3350010667,-0.1334902506,3.1197182533,1,N Queensland
25.275,3.634545,6.85,17.1,1.9242486523,1.2904839312,3.2298157649,1,N Queensland
26.55,2.6350875,5.92,17.1,1.7783364489,0.9689163883,3.2790297477,1,N Queensland
26.9925,3.83563425,8.53,17.1,2.1435893615,1.3443348058,3.2955590496,1,N Queensland
35.843333,3.799393298,9.51,17.1,2.2523438766,1.3348413956,3.5791575804,1,N Queensland
42.275,1.49442125,23.45,17.1,3.1548704949,0.4017390081,3.7441958948,1,N Queensland
0.8555,0.069167175,0.545,28.2,-0.6069694843,-2.6712288786,-0.1560691856,0,S Queensland
2.08,0.129376,0.793,28.2,-0.2319320573,-2.0450323855,0.7323678937,0,S Queensland
6.22,0.43229,3.2,28.2,1.1631508098,-0.8386586197,1.8277699068,0,S Queensland
6.9,0.24978,2.86,28.2,1.0508216248,-1.3871747485,1.9315214116,0,S Queensland
7.16,0.3401,3.26,28.2,1.1817271954,-1.078515587,1.968509981,0,S Queensland
8.03,0.662475,4.02,28.2,1.3912819026,-0.4117724577,2.083184528,0,S Queensland
8.16,0.536928,3.33,28.2,1.202972304,-0.6218912717,2.099244169,0,S Queensland
8.41,0.278371,2.66,28.2,0.9783261228,-1.2788005226,2.129421474,0,S Queensland
9.66,0.681996,3.44,28.2,1.2354714714,-0.3827314863,2.2679936482,0,S Queensland
11.075,1.039,4.48,28.2,1.4996230464,0.0382587121,2.4046903159,0,S Queensland
11.39,0.750601,4.69,28.2,1.5454325825,-0.28688106,2.4327357775,0,S Queensland
11.46,0.599358,3.42,28.2,1.2296405511,-0.5118961966,2.4388627113,0,S Queensland
11.92,0.723544,5.08,28.2,1.6253112616,-0.3235939193,2.4782176616,0,S Queensland
4.24,0.31588,1.54,28.2,0.4317824164,-1.1523928844,1.4445632692,1,S Queensland
7.22,0.889504,2.93,28.2,1.075002423,-0.117091275,1.9768549529,1,S Queensland
8.23,0.284758,3.05,28.2,1.1151415906,-1.2561155822,2.1077860147,1,S Queensland
9.54,0.99693,4,28.2,1.3862943611,-0.0030747221,2.2554934855,1,S Queensland
9.7,0.77503,2.93,28.2,1.075002423,-0.2548535407,2.2721258855,1,S Queensland
10.01,0.906906,3.31,28.2,1.1969481894,-0.0977164726,2.3035845933,1,S Queensland
10.8,0.95094,3.57,28.2,1.2725655958,-0.0503043099,2.3795461341,1,S Queensland
11.46,3.050652,5.04,28.2,1.6174060821,1.1153553383,2.4388627113,1,S Queensland
11.87,5.788999,6.68,28.2,1.8991179875,1.7559593924,2.4740142086,1,S Queensland
11.94,0.527748,3.05,28.2,1.1151415906,-0.6391363819,2.479894108,1,S Queensland
12.38,0.66397654,3.36,28.2,1.211940974,-0.4095084615,2.5160822673,1,S Queensland
12.6,0.72702,4.04,28.2,1.396244692,-0.3188012915,2.533696814,1,S Queensland
12.68,0.904718,3.28,28.2,1.1878434224,-0.1001319861,2.540025949,1,S Queensland
13.84,1.201312,4.3,28.2,1.4586150227,0.1834142929,2.6275629502,1,S Queensland
16.92,0.658188,3.47,28.2,1.244154594,-0.4182646742,2.8284963542,1,S Queensland
21.9,21.35,23.65,28.2,3.1633631149,3.0610517397,3.0864866368,1,S Queensland
29.5,0.8555,20,28.2,2.9957322736,-0.1560691856,3.3843902633,1,S Queensland
36.52,30.18,30.57,28.2,3.4200191359,3.4071794533,3.5978600557,1,S Queensland
1.149429,0.158587869,0.89,42,-0.1165338163,-1.8414464607,0.1392652973,0,Tasmania
6.033333,0.481659073,2.75,42,1.0116009117,-0.7305187326,1.7972995944,0,Tasmania
3.794286,0.488867191,1.51,42,0.4121096508,-0.7156644194,1.3334962509,1,Tasmania
4.9505,0.60445605,2.13,42,0.7561219797,-0.5034263163,1.5994885816,1,Tasmania
16.646667,1.407192702,3.73,42,1.3164082337,0.3415967282,2.8122100162,1,Tasmania
4.128,0.39653568,1.16,42,0.1484200051,-0.9249892546,1.4177930282,1,Tasmania
12.9,1.15197,2.55,42,0.9360933592,0.1414735203,2.5572273114,1,Tasmania
1.121333,0.134260564,0.415,42,-0.8794767588,-2.0079728597,0.1145181562,1,Tasmania
1.475,0.092925,0.145,42,-1.9310215366,-2.3759625628,0.3886579898,1,Tasmania
