would_take_agains,student_difficult,attence,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,hilarious,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline
Yes,1,True,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
No,2,True,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
Yes,2,False,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1
Yes,2,True,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
Yes,3,False,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
Yes,2,True,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Yes,1,False,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Yes,2,True,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Yes,2,False,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Yes,3,False,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Yes,4,True,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,3,True,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,3,True,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,4,False,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,3,True,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Yes,3,True,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Yes,3,True,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Yes,4,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,4,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,3,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,4,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,4,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,3,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
Yes,4,True,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
No,5,True,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
Yes,4,True,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
No,4,True,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
Yes,1,True,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Yes,4,True,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
Yes,3,True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
No,4,True,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
No,2,True,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Yes,4,True,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Yes,3,True,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Yes,3,True,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Yes,3,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,3,True,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Yes,4,True,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
No,4,True,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
No,2,True,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0
No,5,True,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
Yes,3,False,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
No,5,True,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1
No,4,False,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
No,3,True,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
Yes,3,True,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
No,3,True,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
Yes,5,True,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
No,5,True,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Yes,4,True,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Yes,1,True,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3,False,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yes,4,True,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Yes,2,True,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Yes,2,True,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Yes,3,True,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Yes,1,True,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
No,5,True,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Yes,1,False,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
Yes,3,False,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
Yes,2,True,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,2,False,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,3,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
No,2,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Yes,2,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
No,3,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
No,2,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Yes,3,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Yes,2,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
No,4,True,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Yes,4,True,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
No,4,False,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
Yes,2,True,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
Yes,4,True,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
No,4,True,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
Yes,4,True,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
Yes,4,True,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
Yes,4,True,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
No,5,True,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
No,4,True,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
Yes,4,False,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
No,3,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1
Yes,1,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,2,True,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
No,1,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,1,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
Yes,1,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Yes,4,True,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Yes,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,4,True,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
Yes,4,True,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,4,True,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,2,False,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,2,True,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,1,True,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,2,True,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Yes,2,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,4,False,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
Yes,1,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yes,3,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Yes,4,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
No,2,True,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Yes,4,False,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Yes,3,True,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Yes,2,True,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Yes,2,True,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Yes,2,False,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Yes,3,False,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Yes,1,False,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
No,5,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Yes,4,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
No,3,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Yes,4,False,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
No,4,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
No,4,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
No,5,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
No,4,True,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Yes,2,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
No,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,2,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,5,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
No,2,True,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Yes,3,True,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Yes,1,True,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
Yes,3,True,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,1,True,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,2,True,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,1,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,1,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,3,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,3,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,3,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,2,False,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,1,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Yes,1,True,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
No,3,False,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
Yes,4,True,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
Yes,3,False,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
Yes,3,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,2,False,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,4,False,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,3,False,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,2,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,4,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,4,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,3,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,4,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,3,False,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Yes,4,False,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
No,4,False,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
Yes,4,False,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
Yes,1,False,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
Yes,1,False,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,1,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,3,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
No,3,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,2,True,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Yes,3,False,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Yes,1,True,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Yes,4,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
No,1,True,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yes,2,False,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Yes,5,False,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Yes,3,False,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Yes,3,False,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
No,4,False,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
No,5,True,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
Yes,4,True,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
Yes,3,True,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Yes,4,True,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Yes,3,True,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
Yes,4,True,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
Yes,3,False,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Yes,3,True,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,3,True,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,1,True,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Yes,3,True,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
No,3,True,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
Yes,4,False,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
Yes,4,False,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,1,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,1,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,4,True,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Yes,3,True,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
No,3,True,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
No,3,True,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
Yes,3,False,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yes,2,False,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
Yes,1,True,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
Yes,1,False,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
Yes,2,False,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
Yes,3,True,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
Yes,1,True,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
Yes,2,False,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
Yes,1,True,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
Yes,2,False,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
No,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,4,True,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Yes,1,False,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
Yes,3,True,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
Yes,2,False,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
Yes,2,False,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
Yes,2,False,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
Yes,2,False,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
Yes,4,True,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Yes,4,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
No,3,True,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
Yes,4,False,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Yes,3,False,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
